x_value,total_1,total_2
0,1000,1000
1,1000,998
2,1007,997
3,1001,997
4,999,1000
5,1003,999
6,998,1004
7,996,1010
8,999,1008
9,1004,1010
10,1001,1009
11,1005,1005
12,1004,1002
13,1000,1007
14,1003,1008
15,999,1006
16,993,1003
17,994,1001
18,998,999
19,997,996
20,1002,991
21,1002,988
22,1002,985
23,1000,981
24,1002,982
25,1001,981
26,997,980
27,1001,977
28,1003,979
29,1011,979
30,1011,984
31,1016,985
32,1020,990
33,1015,995
34,1021,1001
35,1018,1007
36,1025,1002
37,1025,997
38,1020,997
39,1024,1001
40,1028,1004
41,1033,1001
42,1041,996
43,1042,1000
44,1049,999
45,1053,997
46,1050,992
47,1049,995
48,1046,1000
49,1044,996
50,1042,999
51,1038,1000
52,1042,1004
53,1043,1006
54,1041,1008
55,1043,1009
56,1044,1010
57,1051,1014
58,1055,1018
59,1057,1022
60,1053,1021
61,1047,1016
62,1048,1020
63,1050,1019
64,1058,1018
65,1064,1014
66,1067,1016
67,1061,1020
68,1058,1016
69,1060,1019
70,1063,1023
71,1067,1021
72,1063,1024
73,1063,1022
74,1071,1023
75,1067,1023
76,1067,1024
77,1073,1026
78,1078,1028
79,1084,1028
80,1091,1027
81,1097,1025
82,1102,1020
83,1104,1015
84,1112,1014
85,1109,1016
86,1115,1018
87,1119,1022
88,1120,1025
89,1122,1024
90,1129,1020
91,1132,1016
92,1132,1021
93,1140,1022
94,1137,1018
95,1135,1015
96,1133,1012
97,1127,1011
98,1122,1017
99,1122,1015
100,1127,1020
101,1125,1016
102,1119,1017
103,1125,1013
104,1123,1015
105,1128,1020
106,1135,1020
107,1139,1024
108,1147,1029
109,1150,1035
110,1149,1036
111,1147,1038
112,1145,1039
113,1147,1040
114,1153,1045
115,1149,1048
116,1148,1052
117,1152,1057
118,1151,1055
119,1156,1054
120,1152,1049
121,1151,1045
122,1148,1051
123,1151,1047
124,1145,1053
